Subject,Day,Condition,Threshold,FA_Rate
SUBJ-ID-1042,7,Saline (IC),-16.9738,0.085502
SUBJ-ID-1042,8,Saline (IC),-14.5516,0.084112
SUBJ-ID-1042,9,Saline (IC),-15.1712,0.08642
SUBJ-ID-1042,10,Saline (IC),-12.5004,0.10169
SUBJ-ID-1088,1,Saline (IC),-13.8295,0.031348
SUBJ-ID-1088,2,Saline (IC),-18.2067,0.051672
SUBJ-ID-1088,3,Saline (IC),-18.7849,0.028939
SUBJ-ID-1088,4,Saline (IC),-16.2243,0.057878
SUBJ-ID-1088,5,Saline (IC),-15.9915,0.061728
SUBJ-ID-1088,6,Saline (IC),-18.3647,0.046154
SUBJ-ID-1088,7,Saline (IC),-18.1843,0.020478
SUBJ-ID-1088,8,Saline (IC),-17.4172,0.034591
SUBJ-ID-1088,9,Saline (IC),-18.0056,0.012422
SUBJ-ID-1088,10,Saline (IC),-19.8302,0.056886
SUBJ-ID-1089,1,Saline (IC),-10.4294,0.048193
SUBJ-ID-1089,2,Saline (IC),-10.1607,0.027778
SUBJ-ID-1089,3,Saline (IC),-11.9696,0.0065147
SUBJ-ID-1089,4,Saline (IC),-8.0004,0.0031949
SUBJ-ID-1089,5,Saline (IC),-7.43846,0
SUBJ-ID-1089,6,Saline (IC),-5.13596,0
SUBJ-ID-1089,7,Saline (IC),-3.92502,0.0033223
SUBJ-ID-1089,8,Saline (IC),-13.3921,0.013937
SUBJ-ID-1089,9,Saline (IC),-15.1108,0.0031153
SUBJ-ID-1089,10,Saline (IC),-12.3214,0.12033
SUBJ-ID-1137,1,Saline (IC),-13.6681,0.051429
SUBJ-ID-1137,2,Saline (IC),-12.2575,0.05802
SUBJ-ID-1137,3,Saline (IC),-12.3653,0.05136
SUBJ-ID-1137,4,Saline (IC),-13.2111,0.026866
SUBJ-ID-1137,5,Saline (IC),-14.6526,0.021084
SUBJ-ID-1137,6,Saline (IC),-17.1192,0.077419
SUBJ-ID-1137,7,Saline (IC),-17.432,0.039157
SUBJ-ID-1137,8,Saline (IC),-16.8926,0.020772
SUBJ-ID-1137,9,Saline (IC),-19.2497,0.096429
SUBJ-ID-1137,10,Saline (IC),-16.7421,0.088435
SUBJ-ID-1138,1,Saline (IC),-11.7643,0.04644
SUBJ-ID-1138,2,Saline (IC),-11.3973,0.016129
SUBJ-ID-1138,3,Saline (IC),-8.66151,0.017647
SUBJ-ID-1138,4,Saline (IC),-13.374,0.011461
SUBJ-ID-1138,5,Saline (IC),-14.193,0.017361
SUBJ-ID-1138,6,Saline (IC),-14.4246,0.023256
SUBJ-ID-1138,7,Saline (IC),-14.2186,0.056106
SUBJ-ID-1138,8,Saline (IC),-14.9393,0.056738
SUBJ-ID-1138,9,Saline (IC),-14.3943,0.052308
SUBJ-ID-1138,10,Saline (IC),-17.6883,0.069444
SUBJ-ID-951,1,Saline (IC),-12.0273,0.0080645
SUBJ-ID-951,2,Saline (IC),-16.0446,0.032787
SUBJ-ID-951,3,Saline (IC),-18.2886,0.052109
SUBJ-ID-951,4,Saline (IC),-15.0938,0.061008
SUBJ-ID-951,5,Saline (IC),-15.1282,0.0375
SUBJ-ID-951,6,Saline (IC),-16.3628,0.097143
SUBJ-ID-951,7,Saline (IC),-14.0149,0.027027
SUBJ-ID-951,8,Saline (IC),-13.4478,0.072072
SUBJ-ID-951,9,Saline (IC),-18.4179,0.025078
SUBJ-ID-951,10,Saline (IC),-15.5916,0.083969
SUBJ-ID-1031,1,drGFP-Cre (IC) + Casp3 (ACx),-9.69825,0.019802
SUBJ-ID-1031,2,drGFP-Cre (IC) + Casp3 (ACx),-14.8611,0.043011
SUBJ-ID-1031,3,drGFP-Cre (IC) + Casp3 (ACx),-15.5135,0.058065
SUBJ-ID-1031,4,drGFP-Cre (IC) + Casp3 (ACx),-15.1179,0.02807
SUBJ-ID-1031,5,drGFP-Cre (IC) + Casp3 (ACx),-13.3501,0.065744
SUBJ-ID-1031,6,drGFP-Cre (IC) + Casp3 (ACx),-12.778,0.033784
SUBJ-ID-1031,7,drGFP-Cre (IC) + Casp3 (ACx),-15.8457,0.032362
SUBJ-ID-1031,8,drGFP-Cre (IC) + Casp3 (ACx),-16.4904,0.039062
SUBJ-ID-1031,9,drGFP-Cre (IC) + Casp3 (ACx),-15.7757,0.02
SUBJ-ID-1031,10,drGFP-Cre (IC) + Casp3 (ACx),-18.554,0.049645
SUBJ-ID-1090,1,drGFP-Cre (IC) + Casp3 (ACx),-13.1691,0.037288
